element	title	description
feConvolveMatrix	A filter primitive element that performs image convolution	the feConvolveMatrix element applies a matrix convolution filter effect. A convolution combines pixels in the input image with neighboring pixels to produce a resulting image. A wide variety of imaging operations can be achieved through convolutions, including blurring, edge detection, sharpening, embossing and beveling.
feDiffuseLighting	A filter primitive element defining a lighting model for  diffuse  light	This filter primitive lights an image using the alpha channel as a bump map. The resulting image, which is an RGBA opaque image, depends on the light color, light position and surface geometry of the input bump map.
feDisplacementMap	A filter primitive element that creating displacement	This filter primitive uses the pixels values from the image from in2 to spatially displace the image from in.
feFlood	A filter primitive element that floods with a color	The filter fills the filter subregion with the color and opacity defined by flood-color and flood-opacity.
feGaussianBlur	A filter primitive element to provide a blurring effect	The filter blurs the input image by the amount specified in stdDeviation, which defines the bell-curve.
feImage	A filter primitive element to fetch image data	The feImage filter fetches image data from an external source and provides the pixel data as output (meaning, if the external source is an SVG image, it is rasterize),.
feMerge	A filter primitive element to merge images	The feMerge filter allows filter effects to be applied concurrently instead of sequentially. This is achieved by other filters storing their output via the result attribute and then accessing it in a <femergenode> child.
feMorphology	A filter primitive element to erode or dilate	This filter is used to erode or dilate the input image. It's usefulness lies especially in fattening or thinning effects.
feOffset	A filter primitive element to offset an image	The input image as a whole is offset by the values specified in the dx and dy attributes. It's used in creating drop-shadows.
feSpecularLighting	A filter primitive element defining a lighting model for  specular  light	This filter primitive lights a source graphic using the alpha channel as a bump map. The resulting image is an RGBA image based on the light color. The lighting calculation follows the standard specular component of the Phong lighting model. The resulting image depends on the light color, light position and surface geometry of the input bump map. The result of the lighting calculation is added. The filter primitive assumes that the viewer is at infinity in the z direction.
feTile	An element to tile a region with a given image	An input image is tiled and the result used to fill a target. The effect is similar to the one of a <pattern>.
feTurbulence	A filter primitive element producing turbulence effect on an image	This filter primitive creates an image using the Perlin turbulence function. It allows the synthesis of artificial textures like clouds or marble.
font	An element which specifies the font.	The font element defines a font to be used for text layout.
font-face	An element for defining  the font face	The font-face element corresponds to the CSS @@font-face declaration. It defines a font's outer properties.
font-face-format	An element for specifing the font face format.	The font-face-format element describes the type of font referenced by its parent <font-face-uri>.
font-face-src	An element for defing the font face by specifing the source.	The font-face-src element corresponds to the src property in CSS @@font-face descriptions. It serves as container for <font-face-name>, pointing to locally installed copies of this font, and <font-face-uri>, utilizing remotely defined fonts.
font-face-uri	An element to defining the font face by speicfing a URI to the font-face	The font-face-uri element points to a remote definition of the current font.
hkern	An element used to specify horizontal distances between glyphs	The horizontal distance between two glyphs can be fine-tweaked with an hkern Element. This process is known as Kerning.
vkern	An element used to specify vertical distances between glyphs	The vertical distance between two glyphs in top-to-bottom fonts can be fine-tweaked with an vkern Element. This process is known as Kerning.
linearGradient	An element to define a linear gradient	LinearGradient is used to define a linear gradient fill or stroke of  a graphical element.
radialGradient	An element to define a radial gradient	RadialGradient is used to define a radial gradient fill or stroke of  a graphical element.
stop	An element used to define the colors and layouts of a gradient	The ramp of colors to use on a gradient is defined by the stop elements that are child elements to either the <lineargradient> element or the <radialgradient> element.
image	An element used to include a raster image	The SVG Image Element (<image>), allows a raster image into be included in an SVG document.
use	An element used for taking another element as a template	The use element takes nodes from within the SVG document, and duplicates them somewhere else. The effect is the same as if the nodes were deeply cloned into a non-exposed DOM, and then pasted where the use element is, much like anonymous content and XBL. Since the cloned nodes are not exposed, care must be taken when using CSS to style a use element and its hidden descendants. CSS attributes are not guaranteed to be inherited by the hidden, cloned DOM unless you explicitly request it using CSS inheritance.
path	An element to create a path	A path is defined by including a 'path' element which contains a d='(path data),' attribute, where the 'd' attribute contains the moveto, line, curve (both cubic and quadratic Beziers), arc and closepath instructions.
text	An element used to create text	The text element defines a graphics element consisting of text. Note that it is possible to apply a gradient, pattern, clipping path, mask or filter to text
feDistantLight	A primitive filter element that defines a distant light source	This filter primitive define a distant light source that can be used within a lighting filter primitive : <fediffuselighting> or <fespecularlighting>.
fePointLight	A primitive filter element that defines a point light source	This filter primitive defines a light source that emanates uniformly from a non-distant  point in space close.
feSpotLight	A primitive filter element that defines a spot light  source	This filter primitive defines a directed light source simulating the effect of a spot light.
altGlyphDef	An element used to define a set of possible glyph substitutions	The altGlyphDef element defines a substitution representation for glyphs. This will consist of  either one or more glyphRef elements or one or more altGlyphitem elements.
altGlyphItem	An element used to provide a set of glyph substitution candidates	The altGlyphItem element provides a set of candidates for glyph substitution by the <altglyph> element.
glyph	An element used to define graphics for a given glyph	A glyph defines a single glyph in an SVG font.
glyphRef	An element used to define a possible glyph to use	The glyphRef element provides a single possible glyph to the referencing <altglyph> substitution.
altGlyph	An element used to provide control over the glyphs used to render particular character data	The altGlyph element allows sophisticated selection of the glyphs used to render its child character data.
textPath	An element used to place text along a given path	In addition to text drawn in a straight line, SVG also includes the ability to place text along the shape of a <path> element. To specify that a block of text is to be rendered along the shape of a <path>, include the given text within a textPath element which includes an xlink:href attribute with a reference to a <path> element.
tref	An element used to provide a reference to text content data	The textual content for a <text> can be either character data directly embedded within the <text> element or the character data content of a referenced element, where the referencing is specified with a tref element.
tspan	An element used to control sections of text data within a text element	Within a <text> element, text and font properties and the current text position can be adjusted with absolute or relative coordinate values by including a tspan element.
clipPath	An element used to define a boundry (path), for clipping	The clipping path restricts the region to which paint can be applied. Conceptually, any parts of the drawing that lie outside of the region bounded by the currently active clipping path are not drawn.
color-profile	An element used to specify color profiles	The element allows describing the color profile used for the image.
cursor	An element used to define platform-independent custom cursor	The cursor element can be used to define a platform-independent custom cursor. A recommended approach for defining a platform-independent custom cursor is to create a PNG image and define a cursor element that references the PNG image and identifies the exact position within the image which is the pointer position (i.e., the hot spot),.
feFuncA	An element used to specify alpha component transfer function	This filter primitive defines the transfer function for the alpha component of the input graphic of its parent <fecomponenttransfer> element.
feFuncB	An element used to specify blue component transfer function	This filter primitive defines the transfer function for the blue component of the input graphic of its parent <fecomponenttransfer> element.
feFuncG	An element used to specify green component transfer function	This filter primitive defines the transfer function for the green component of the input graphic of its parent <fecomponenttransfer> element.
feFuncR	An element used to specify red component transfer function	This filter primitive defines the transfer function for the red component of the input graphic of its parent <fecomponenttransfer> element.
feMergeNode	An element used to wrap input prior to being used by femerge	This is a simple  wrapoer input to be processed by its parent <femerge>.
filter	A container element used to modify an image	The filter element serves as container for atomic filter operations. It is never rendered directly. A filter is referenced by using the filter attribute on the target SVG element.
font-face-name	An element used to specify a local font-face by name	The font-face-name element points to a locally installed copy of this font, identified by its name. The font-face element is used within a font-face-src element.
foreignObject	An element used to include a non-svg element	The foreignObject element allows for inclusion of a foreign XML namespace which has its graphical content drawn by a different user agent. The included foreign graphical content is subject to SVG transformations and compositing.
missing-glyph	An element used to define the graphics to use when an attempt to draw a glyph that has not been defined.	The missing-glyph's content is rendered, if for a given character the font doesn't define an appropriate <glyph>.
script	An element used to embed javascript	Any functions defined within any script element have a global scope across the entire current document.
style	An element used to embed a style specification	The style element allows style sheets to be embedded directly within SVG content. SVG's style element has the same attributes as the corresponding element in HTML (see HTML's <style> element),.
view	An element used to change the appearance of the content of an svg element it contains	A view is a defined way to view the image, like a zoom level or a detail view.
svg	A container element with it's own viewport used for gouping elements.	A container element for graphical elements with it's own viewport and coordinate system.
g	A container element for grouping elements.	A container used to group other elements, which allows for convenient way to  apply  transforms and assignments to the group as a whole.
